,composition,gd_slot,gd_k,gd_n,gd_m,coop_rate,winning_strategy
953,"[0, 2, 0, 2, 1]",3,1,4,4,156.48,['InversePunisher']
954,"[3, 3, 0, 4, 3]",3,1,5,5,159.50295857988166,['FirstByDavis']
955,"[1, 1, 5, 4, 4]",2,5,1,1,89.31111111111112,"['ContriteTitForTat', 'InversePunisher']"
956,"[4, 0, 0, 5, 1]",0,4,2,2,116.32,['InversePunisher']
957,"[2, 1, 4, 0, 4]",4,3,3,3,161.25619834710744,['FirstByDavis']
958,"[1, 2, 1, 3, 0]",2,0,4,4,174.9795918367347,['InversePunisher']
959,"[0, 4, 5, 3, 2]",4,2,5,5,187.55102040816325,['InversePunisher']
960,"[3, 5, 4, 2, 1]",2,1,1,1,108.2311111111111,"['ContriteTitForTat', 'InversePunisher']"
961,"[3, 2, 2, 4, 3]",4,2,2,2,155.6734693877551,['FirstByDavis']
962,"[5, 5, 5, 5, 4]",0,5,3,3,169.01041666666666,['InversePunisher']
963,"[2, 4, 0, 4, 5]",3,4,4,4,159.00444444444443,['InversePunisher']
964,"[5, 1, 2, 3, 1]",2,2,5,5,170.26388888888889,['FirstByDavis']
965,"[4, 2, 5, 3, 2]",2,3,1,1,95.44921875,"['ContriteTitForTat', 'InversePunisher']"
966,"[4, 5, 4, 1, 1]",2,4,2,2,144.5511111111111,['FirstByDavis']
967,"[2, 5, 4, 5, 3]",4,3,3,3,176.0332409972299,"['FirstByDavis', 'InversePunisher']"
968,"[2, 1, 5, 5, 5]",0,2,4,4,182.04320987654322,['InversePunisher']
969,"[0, 5, 4, 5, 3]",1,1,5,5,164.98269896193773,['InversePunisher']
970,"[5, 4, 2, 2, 1]",0,5,1,1,82.93367346938776,"['ContriteTitForTat', 'InversePunisher']"
971,"[5, 3, 4, 0, 3]",0,0,2,2,147.93333333333334,['InversePunisher']
972,"[1, 2, 5, 4, 0]",2,5,3,3,135.76388888888889,['FirstByDavis']
973,"[3, 2, 1, 5, 0]",3,4,4,4,149.6694214876033,['FirstByDavis']
974,"[0, 2, 0, 5, 0]",3,2,5,5,163.46938775510205,['ContriteTitForTat']
975,"[2, 2, 5, 2, 0]",1,2,1,1,134.41322314049586,['InversePunisher']
976,"[2, 0, 2, 1, 3]",0,2,2,2,152.25,['InversePunisher']
977,"[0, 0, 5, 3, 2]",4,2,3,3,175.76,['InversePunisher']
978,"[5, 2, 1, 4, 5]",4,5,4,4,153.59861591695503,['InversePunisher']
979,"[5, 3, 2, 2, 2]",1,3,5,5,166.60204081632654,['FirstByDavis']
980,"[1, 3, 1, 5, 1]",0,1,1,1,165.3801652892562,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
981,"[5, 2, 3, 5, 2]",3,3,2,2,144.42906574394465,['FirstByDavis']
982,"[5, 3, 2, 1, 2]",1,3,3,3,158.10650887573965,['FirstByDavis']
983,"[5, 2, 3, 2, 1]",0,4,4,4,160.47337278106508,['InversePunisher']
984,"[3, 0, 5, 4, 3]",2,5,5,5,147.86666666666667,['FirstByDavis']
985,"[5, 0, 4, 3, 4]",4,1,1,1,113.453125,['InversePunisher']
986,"[3, 1, 2, 1, 2]",0,3,2,2,142.77777777777777,['InversePunisher']
987,"[0, 2, 4, 1, 4]",0,0,3,3,200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
988,"[0, 2, 4, 1, 1]",2,3,4,4,144.375,['InversePunisher']
989,"[3, 4, 4, 4, 4]",1,2,5,5,170.37119113573408,['FirstByDavis']
990,"[4, 5, 4, 5, 5]",3,4,1,1,123.04347826086956,"['ContriteTitForTat', 'InversePunisher']"
991,"[3, 0, 0, 2, 3]",4,0,2,2,118.71875,['FirstByDavis']
992,"[4, 5, 4, 4, 3]",1,4,3,3,157.9,['FirstByDavis']
993,"[4, 2, 5, 2, 3]",1,2,4,4,180.15625,['InversePunisher']
994,"[4, 4, 4, 2, 0]",2,4,5,5,163.0204081632653,['FirstByDavis']
995,"[5, 2, 4, 4, 4]",2,4,1,1,125.31855955678671,"['ContriteTitForTat', 'InversePunisher']"
996,"[1, 3, 0, 4, 3]",3,4,2,2,129.48760330578511,['FirstByDavis']
997,"[2, 2, 4, 0, 2]",2,4,3,3,138.4,['FirstByDavis']
998,"[5, 0, 3, 5, 4]",2,3,4,4,163.00346020761245,['InversePunisher']
999,"[5, 3, 4, 4, 1]",3,3,5,5,173.4948096885813,['FirstByDavis']
1000,"[0, 5, 4, 3, 5]",4,5,1,1,99.93079584775087,"['ContriteTitForTat', 'InversePunisher']"
1001,"[5, 0, 4, 2, 4]",3,2,2,2,171.7511111111111,['FirstByDavis']
1002,"[2, 1, 5, 2, 0]",3,1,3,3,177.88,['FirstByDavis']
1003,"[5, 5, 1, 0, 5]",0,2,4,4,160.44921875,['InversePunisher']
1004,"[3, 5, 4, 3, 0]",2,4,5,5,166.77333333333334,['FirstByDavis']
1005,"[3, 0, 5, 5, 1]",0,3,1,1,123.71428571428571,['InversePunisher']
1006,"[4, 1, 2, 1, 3]",1,1,2,2,178.61157024793388,['FirstByDavis']
1007,"[4, 1, 5, 3, 3]",1,1,3,3,188.59375,"['FirstByDavis', 'InversePunisher']"
1008,"[3, 2, 3, 4, 5]",3,2,4,4,165.42560553633217,['InversePunisher']
1009,"[4, 1, 1, 0, 2]",0,3,5,5,156.5625,['InversePunisher']
1010,"[3, 0, 1, 3, 4]",0,3,1,1,106.00826446280992,['InversePunisher']
1011,"[2, 4, 3, 0, 5]",1,4,2,2,145.10204081632654,['FirstByDavis']
1012,"[5, 1, 5, 1, 4]",2,2,3,3,141.5625,['FirstByDavis']
1013,"[2, 5, 0, 5, 5]",1,5,4,4,144.80968858131487,['InversePunisher']
1014,"[4, 3, 5, 3, 5]",4,5,5,5,172.7375,['FirstByDavis']
1015,"[0, 0, 0, 3, 5]",4,5,1,1,28.359375,['InversePunisher']
1016,"[0, 0, 0, 3, 4]",4,4,2,2,98.28571428571429,['InversePunisher']
1017,"[0, 3, 0, 5, 0]",3,5,3,3,143.28125,['ContriteTitForTat']
1018,"[2, 5, 2, 2, 5]",3,2,4,4,181.2109375,['InversePunisher']
1019,"[4, 1, 5, 2, 4]",0,4,5,5,173.640625,['InversePunisher']
1020,"[0, 2, 3, 2, 4]",2,3,1,1,105.98347107438016,"['ContriteTitForTat', 'InversePunisher']"
1021,"[2, 4, 0, 1, 2]",1,4,2,2,109.82716049382717,['FirstByDavis']
1022,"[3, 2, 5, 2, 3]",2,0,3,3,141.95555555555555,['FirstByDavis']
1023,"[1, 5, 3, 5, 0]",1,5,4,4,152.29591836734693,['InversePunisher']
1024,"[5, 0, 0, 4, 5]",3,4,5,5,152.0408163265306,['FirstByDavis']
1025,"[2, 5, 5, 3, 5]",1,1,1,1,112.975,['InversePunisher']
1026,"[5, 0, 5, 5, 2]",3,5,2,2,147.85467128027682,['FirstByDavis']
1027,"[4, 4, 1, 3, 1]",0,0,3,3,156.02366863905326,['InversePunisher']
1028,"[1, 0, 3, 1, 4]",2,3,4,4,140.0,['InversePunisher']
1029,"[2, 4, 0, 2, 5]",4,5,5,5,158.81656804733728,['FirstByDavis']
1030,"[4, 1, 1, 4, 0]",3,4,1,1,73.72,['ContriteTitForTat']
1031,"[5, 1, 0, 3, 3]",0,5,2,2,116.97916666666667,['InversePunisher']
1032,"[5, 0, 1, 4, 3]",4,3,3,3,154.84023668639054,['FirstByDavis']
1033,"[0, 5, 5, 4, 4]",1,1,4,4,161.91358024691357,['InversePunisher']
1034,"[1, 1, 5, 5, 1]",2,5,5,5,148.01775147928993,['FirstByDavis']
1035,"[2, 4, 1, 4, 1]",0,0,1,1,139.04166666666666,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
1036,"[2, 0, 5, 3, 5]",3,1,2,2,162.8,['FirstByDavis']
1037,"[3, 0, 3, 5, 3]",3,4,3,3,147.80612244897958,['FirstByDavis']
1038,"[5, 5, 0, 4, 4]",3,4,4,4,164.45679012345678,['InversePunisher']
1039,"[3, 4, 5, 3, 1]",0,3,5,5,182.796875,['InversePunisher']
1040,"[3, 5, 5, 2, 4]",1,5,1,1,109.22437673130194,['InversePunisher']
1041,"[1, 5, 3, 3, 1]",3,2,2,2,161.53254437869822,['FirstByDavis']
1042,"[3, 2, 1, 1, 3]",4,3,3,3,153.62,['FirstByDavis']
1043,"[5, 3, 4, 1, 5]",0,5,4,4,165.69444444444446,['InversePunisher']
1044,"[3, 4, 1, 0, 1]",0,3,5,5,174.66666666666666,['InversePunisher']
1045,"[2, 5, 0, 1, 5]",0,2,1,1,143.32544378698225,"['ContriteTitForTat', 'InversePunisher']"
1046,"[2, 2, 0, 2, 0]",3,2,2,2,134.55555555555554,['FirstByDavis']
1047,"[0, 1, 2, 3, 2]",3,0,3,3,154.90625,['InversePunisher']
1048,"[2, 5, 0, 4, 2]",0,2,4,4,175.49112426035504,['InversePunisher']
1049,"[1, 5, 5, 4, 5]",1,4,5,5,168.725,['FirstByDavis']
1050,"[3, 2, 2, 0, 5]",0,3,1,1,112.72916666666667,"['ContriteTitForTat', 'InversePunisher']"
1051,"[1, 2, 1, 2, 0]",3,1,2,2,145.11111111111111,['FirstByDavis']
1052,"[3, 2, 1, 3, 3]",0,3,3,3,157.75,['InversePunisher']
1053,"[5, 0, 5, 5, 1]",0,5,4,4,161.40625,['InversePunisher']
1054,"[3, 4, 5, 4, 3]",1,4,5,5,172.23268698060943,['FirstByDavis']
1055,"[1, 1, 5, 0, 5]",4,5,1,1,68.78472222222223,['ContriteTitForTat']
1056,"[3, 1, 2, 4, 4]",0,1,2,2,154.7704081632653,['InversePunisher']
1057,"[1, 3, 3, 3, 2]",1,3,3,3,160.375,['FirstByDavis']
1058,"[2, 2, 3, 4, 5]",4,3,4,4,159.7265625,['InversePunisher']
1059,"[0, 2, 3, 4, 3]",4,3,5,5,174.375,['InversePunisher']
1060,"[5, 5, 5, 5, 5]",2,5,1,1,128.52,"['ContriteTitForTat', 'InversePunisher']"
1061,"[3, 4, 3, 3, 3]",4,3,2,2,163.53125,['FirstByDavis']
1062,"[3, 0, 1, 1, 1]",4,1,3,3,168.05555555555554,['FirstByDavis']
1063,"[0, 3, 4, 1, 1]",1,3,4,4,168.8148148148148,['InversePunisher']
1064,"[2, 1, 3, 5, 3]",0,2,5,5,180.1734693877551,['InversePunisher']
1065,"[0, 5, 5, 0, 2]",2,1,1,1,68.29861111111111,"['ContriteTitForTat', 'InversePunisher']"
1066,"[0, 4, 3, 1, 3]",2,2,2,2,144.8595041322314,['InversePunisher']
1067,"[5, 4, 0, 0, 3]",1,4,3,3,136.27777777777777,['FirstByDavis']
1068,"[1, 0, 5, 4, 3]",3,0,4,4,166.20118343195267,['InversePunisher']
1069,"[3, 4, 3, 4, 2]",0,3,5,5,178.859375,['InversePunisher']
1070,"[5, 4, 0, 3, 3]",3,3,1,1,128.76,"['ContriteTitForTat', 'InversePunisher']"
1071,"[5, 2, 4, 4, 2]",2,1,2,2,145.46712802768167,['FirstByDavis']
1072,"[1, 1, 4, 3, 4]",2,2,3,3,143.14792899408283,['FirstByDavis']
1073,"[0, 5, 5, 4, 2]",4,2,4,4,185.7109375,['InversePunisher']
1074,"[4, 4, 5, 3, 3]",2,5,5,5,162.82548476454295,['FirstByDavis']
1075,"[5, 5, 3, 5, 3]",1,0,1,1,116.82539682539682,['InversePunisher']
1076,"[3, 2, 4, 0, 2]",1,1,2,2,166.3801652892562,['FirstByDavis']
1077,"[4, 2, 1, 2, 2]",2,1,3,3,180.54545454545453,"['FirstByDavis', 'InversePunisher']"
1078,"[4, 4, 1, 3, 4]",3,3,4,4,170.234375,['InversePunisher']
1079,"[4, 1, 5, 1, 0]",2,5,5,5,141.8595041322314,['FirstByDavis']
1080,"[2, 3, 4, 5, 3]",2,3,1,1,117.3840830449827,"['ContriteTitForTat', 'InversePunisher']"
1081,"[5, 1, 3, 3, 3]",3,3,2,2,158.73333333333332,['FirstByDavis']
1082,"[1, 2, 5, 3, 5]",3,1,3,3,173.0703125,['FirstByDavis']
1083,"[3, 5, 0, 5, 2]",3,1,4,4,156.51111111111112,['InversePunisher']
1084,"[5, 0, 4, 4, 0]",2,2,5,5,149.301775147929,['FirstByDavis']
1085,"[4, 1, 0, 1, 3]",0,4,1,1,61.97530864197531,"['ContriteTitForTat', 'InversePunisher']"
1086,"[2, 3, 3, 5, 5]",3,5,2,2,147.7314814814815,['FirstByDavis']
1087,"[5, 2, 0, 1, 2]",0,5,3,3,132.8,['InversePunisher']
1088,"[2, 4, 4, 1, 0]",3,1,4,4,190.69421487603304,['FirstByDavis']
1089,"[5, 5, 0, 3, 2]",1,5,5,5,146.88888888888889,['FirstByDavis']
1090,"[5, 3, 4, 5, 4]",3,5,1,1,116.83673469387755,"['ContriteTitForTat', 'InversePunisher']"
1091,"[4, 0, 5, 5, 0]",3,5,2,2,144.89795918367346,['FirstByDavis']
1092,"[0, 4, 4, 5, 5]",3,0,3,3,163.39506172839506,['InversePunisher']
1093,"[3, 1, 1, 2, 5]",1,1,4,4,182.34722222222223,['InversePunisher']
1094,"[0, 5, 1, 5, 3]",3,5,5,5,167.8826530612245,['InversePunisher']
1095,"[4, 4, 0, 0, 1]",1,4,1,1,63.75308641975309,['InversePunisher']
1096,"[1, 3, 1, 3, 1]",3,3,2,2,141.88888888888889,['FirstByDavis']
1097,"[5, 4, 4, 4, 5]",0,4,3,3,165.16528925619835,['InversePunisher']
1098,"[5, 3, 0, 3, 4]",3,3,4,4,164.92,['InversePunisher']
1099,"[3, 5, 5, 5, 0]",2,4,5,5,164.12037037037038,['FirstByDavis']
1100,"[1, 4, 3, 2, 4]",4,2,1,1,102.48979591836735,"['ContriteTitForTat', 'InversePunisher']"
1101,"[3, 3, 4, 4, 5]",1,3,2,2,165.86149584487535,['FirstByDavis']
1102,"[0, 2, 3, 2, 1]",4,1,3,3,183.9375,['InversePunisher']
1103,"[5, 0, 0, 5, 4]",3,4,4,4,137.90816326530611,['InversePunisher']
1104,"[3, 2, 3, 5, 3]",1,2,5,5,180.046875,['FirstByDavis']
1105,"[4, 1, 2, 5, 0]",0,4,1,1,89.16666666666667,"['ContriteTitForTat', 'InversePunisher']"
1106,"[2, 5, 3, 1, 4]",3,0,2,2,186.20888888888888,['FirstByDavis']
1107,"[0, 2, 1, 3, 1]",2,1,3,3,172.85714285714286,['InversePunisher']
1108,"[3, 5, 2, 0, 2]",0,3,4,4,174.22916666666666,['InversePunisher']
1109,"[3, 3, 4, 2, 2]",0,1,5,5,179.35204081632654,['InversePunisher']
1110,"[0, 4, 4, 2, 5]",2,1,1,1,107.75111111111111,"['ContriteTitForTat', 'InversePunisher']"
1111,"[4, 3, 1, 1, 0]",1,2,2,2,131.77777777777777,['FirstByDavis']
1112,"[1, 5, 5, 3, 4]",1,5,3,3,158.85802469135803,['FirstByDavis']
1113,"[2, 5, 3, 2, 4]",1,5,4,4,153.984375,['InversePunisher']
1114,"[3, 3, 0, 5, 4]",0,1,5,5,170.28,['InversePunisher']
1115,"[0, 5, 5, 4, 5]",4,5,1,1,108.85041551246537,"['ContriteTitForTat', 'InversePunisher']"
1116,"[1, 3, 3, 4, 5]",1,2,2,2,159.828125,['FirstByDavis']
1117,"[1, 2, 2, 5, 1]",3,3,3,3,149.0909090909091,['FirstByDavis']
1118,"[3, 0, 5, 0, 4]",2,5,4,4,132.15277777777777,['InversePunisher']
1119,"[1, 5, 4, 0, 5]",1,5,5,5,163.77777777777777,['FirstByDavis']
1120,"[0, 1, 1, 5, 1]",3,4,1,1,28.4375,"['ContriteTitForTat', 'InversePunisher']"
1121,"[2, 3, 4, 4, 0]",3,4,2,2,153.20710059171597,['FirstByDavis']
1122,"[1, 0, 3, 5, 3]",4,1,3,3,160.375,['FirstByDavis']
1123,"[0, 4, 5, 3, 0]",2,4,4,4,151.94444444444446,['InversePunisher']
1124,"[3, 2, 5, 1, 5]",2,5,5,5,155.15625,['FirstByDavis']
1125,"[5, 4, 1, 5, 2]",1,4,1,1,117.77162629757785,['InversePunisher']
1126,"[5, 0, 0, 4, 1]",3,4,2,2,114.72,['FirstByDavis']
1127,"[1, 4, 1, 2, 2]",3,2,3,3,170.36,['FirstByDavis']
1128,"[3, 5, 4, 3, 4]",2,4,4,4,165.2409972299169,['InversePunisher']
1129,"[5, 3, 0, 5, 5]",0,4,5,5,161.15740740740742,['InversePunisher']
1130,"[3, 0, 2, 0, 2]",0,3,1,1,65.6734693877551,['InversePunisher']
1131,"[0, 2, 4, 3, 5]",1,0,2,2,170.85714285714286,['InversePunisher']
1132,"[4, 3, 5, 0, 0]",1,2,3,3,167.66666666666666,['FirstByDavis']
1133,"[5, 5, 3, 1, 2]",1,2,4,4,154.3359375,['InversePunisher']
1134,"[3, 4, 4, 2, 1]",0,3,5,5,181.3265306122449,['InversePunisher']
1135,"[3, 5, 2, 2, 3]",1,3,1,1,89.75555555555556,['InversePunisher']
1136,"[1, 4, 1, 1, 3]",0,0,2,2,178.76,['InversePunisher']
1137,"[0, 5, 1, 5, 4]",1,3,3,3,141.2,['InversePunisher']
1138,"[0, 5, 2, 1, 2]",1,5,4,4,145.6,['InversePunisher']
1139,"[1, 5, 4, 5, 2]",2,4,5,5,168.98269896193773,['FirstByDavis']
1140,"[5, 1, 5, 4, 4]",0,5,1,1,108.85041551246537,"['ContriteTitForTat', 'InversePunisher']"
1141,"[1, 3, 5, 0, 2]",2,5,2,2,119.3801652892562,['FirstByDavis']
1142,"[4, 5, 0, 1, 5]",4,2,3,3,149.6888888888889,['FirstByDavis']
1143,"[4, 5, 1, 3, 2]",0,2,4,4,164.88888888888889,['InversePunisher']
1144,"[2, 1, 0, 1, 4]",4,4,5,5,143.3125,['FirstByDavis']
1145,"[4, 2, 1, 3, 3]",0,0,1,1,96.09467455621302,"['ContriteTitForTat', 'InversePunisher']"
1146,"[3, 4, 4, 3, 4]",4,2,2,2,159.11111111111111,['FirstByDavis']
1147,"[3, 4, 5, 2, 2]",0,3,3,3,175.90625,['InversePunisher']
1148,"[5, 3, 5, 4, 5]",1,2,4,4,176.3595041322314,['InversePunisher']
1149,"[4, 1, 4, 4, 3]",0,2,5,5,171.015625,['InversePunisher']
1150,"[0, 4, 0, 4, 5]",4,3,1,1,75.97633136094674,"['ContriteTitForTat', 'InversePunisher']"
1151,"[4, 4, 2, 4, 5]",3,2,2,2,156.05540166204986,['FirstByDavis']
1152,"[2, 4, 4, 3, 4]",1,4,3,3,161.3840830449827,['FirstByDavis']
1153,"[5, 5, 1, 4, 0]",3,0,4,4,165.42222222222222,['FirstByDavis']
1154,"[3, 5, 1, 4, 5]",4,5,5,5,166.71296296296296,['FirstByDavis']
1155,"[4, 4, 5, 4, 0]",2,1,1,1,100.48442906574394,"['ContriteTitForTat', 'InversePunisher']"
1156,"[3, 0, 0, 1, 4]",0,3,2,2,119.84375,['InversePunisher']
1157,"[5, 0, 0, 4, 5]",0,5,3,3,134.18367346938774,['InversePunisher']
1158,"[3, 5, 4, 2, 1]",4,1,4,4,191.3022222222222,['InversePunisher']
1159,"[3, 5, 0, 5, 0]",1,0,5,5,142.89940828402368,['FirstByDavis']
1160,"[4, 3, 1, 2, 4]",4,0,1,1,103.0,"['ContriteTitForTat', 'InversePunisher']"
1161,"[3, 2, 0, 5, 2]",3,1,2,2,119.02777777777777,['FirstByDavis']
1162,"[4, 0, 5, 5, 0]",2,1,3,3,133.57142857142858,['FirstByDavis']
1163,"[4, 5, 5, 4, 4]",1,0,4,4,164.58677685950414,['InversePunisher']
1164,"[5, 2, 2, 3, 3]",4,3,5,5,171.57333333333332,['FirstByDavis']
1165,"[5, 0, 0, 3, 4]",4,0,1,1,90.36111111111111,['InversePunisher']
1166,"[1, 4, 5, 4, 5]",3,2,2,2,162.37119113573408,['FirstByDavis']
1167,"[3, 5, 2, 4, 3]",3,4,3,3,164.37370242214533,['FirstByDavis']
1168,"[1, 1, 3, 3, 4]",0,1,4,4,185.96527777777777,['InversePunisher']
1169,"[1, 2, 0, 5, 4]",4,4,5,5,155.88888888888889,['FirstByDavis']
1170,"[0, 4, 3, 0, 3]",4,3,1,1,98.3,['ContriteTitForTat']
1171,"[0, 1, 3, 3, 3]",3,3,2,2,150.65,['InversePunisher']
1172,"[5, 1, 4, 3, 3]",3,2,3,3,169.25,['FirstByDavis']
1173,"[0, 2, 4, 1, 1]",3,1,4,4,189.15625,['InversePunisher']
1174,"[3, 1, 1, 4, 2]",3,4,5,5,154.21487603305786,['FirstByDavis']
1175,"[3, 2, 0, 3, 5]",4,5,1,1,76.77514792899409,"['ContriteTitForTat', 'InversePunisher']"
1176,"[4, 0, 2, 1, 2]",4,2,2,2,154.5185185185185,['FirstByDavis']
1177,"[4, 4, 0, 5, 0]",1,4,3,3,139.92899408284023,['FirstByDavis']
1178,"[4, 4, 4, 0, 0]",1,1,4,4,162.22222222222223,['FirstByDavis']
1179,"[5, 2, 4, 5, 0]",3,5,5,5,167.421875,['FirstByDavis']
1180,"[3, 2, 4, 3, 4]",4,4,1,1,113.171875,"['ContriteTitForTat', 'InversePunisher']"
1181,"[4, 3, 3, 5, 4]",2,1,2,2,161.81440443213296,['FirstByDavis']
1182,"[3, 1, 1, 0, 0]",1,0,3,3,164.0,['FirstByDavis']
1183,"[2, 5, 2, 5, 4]",1,5,4,4,153.02469135802468,['InversePunisher']
1184,"[2, 3, 2, 5, 0]",2,2,5,5,174.76388888888889,['FirstByDavis']
1185,"[1, 5, 1, 3, 4]",1,5,1,1,83.13775510204081,['InversePunisher']
1186,"[2, 2, 4, 2, 3]",0,1,2,2,171.50295857988166,['InversePunisher']
1187,"[2, 5, 3, 0, 0]",1,5,3,3,148.0,['FirstByDavis']
1188,"[5, 4, 0, 4, 0]",1,4,4,4,143.57396449704143,['InversePunisher']
1189,"[4, 1, 0, 2, 1]",3,2,5,5,159.78125,['FirstByDavis']
1190,"[4, 2, 4, 5, 1]",0,0,1,1,112.75,"['ContriteTitForTat', 'InversePunisher']"
1191,"[2, 5, 5, 3, 2]",1,5,2,2,148.26989619377161,['FirstByDavis']
1192,"[0, 0, 5, 2, 5]",2,5,3,3,127.77777777777777,['InversePunisher']
1193,"[3, 4, 1, 5, 3]",1,2,4,4,154.09375,['InversePunisher']
1194,"[3, 1, 1, 5, 5]",3,0,5,5,154.46666666666667,['FirstByDavis']
1195,"[1, 4, 5, 5, 0]",2,3,1,1,89.31111111111112,"['ContriteTitForTat', 'InversePunisher']"
1196,"[0, 1, 2, 1, 5]",4,1,2,2,127.09876543209876,['InversePunisher']
1197,"[2, 3, 3, 4, 0]",2,3,3,3,156.125,['FirstByDavis']
1198,"[5, 2, 0, 2, 0]",3,2,4,4,163.01234567901236,['FirstByDavis']
1199,"[2, 0, 4, 5, 5]",4,5,5,5,163.671875,['FirstByDavis']
1200,"[1, 3, 3, 3, 0]",2,3,1,1,98.48,"['ContriteTitForTat', 'InversePunisher']"
1201,"[5, 2, 5, 4, 2]",4,2,2,2,177.30864197530863,['FirstByDavis']
1202,"[4, 2, 0, 0, 5]",1,2,3,3,160.23140495867767,['FirstByDavis']
1203,"[3, 0, 5, 4, 3]",0,3,4,4,171.70666666666668,['InversePunisher']
1204,"[5, 3, 5, 5, 4]",1,0,5,5,179.28512396694214,['FirstByDavis']
1205,"[2, 3, 5, 5, 0]",0,1,1,1,150.38222222222223,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
1206,"[5, 3, 2, 2, 1]",1,2,2,2,150.36686390532543,['FirstByDavis']
1207,"[2, 1, 2, 5, 1]",3,5,3,3,143.96694214876032,['FirstByDavis']
1208,"[3, 3, 2, 2, 4]",3,1,4,4,177.5408163265306,['InversePunisher']
1209,"[1, 0, 4, 5, 3]",3,5,5,5,164.0828402366864,['FirstByDavis']
1210,"[4, 2, 0, 1, 3]",1,2,1,1,128.88,['InversePunisher']
1211,"[5, 4, 0, 4, 0]",0,4,2,2,128.28402366863907,['InversePunisher']
1212,"[5, 2, 0, 3, 3]",3,2,3,3,155.76331360946745,['FirstByDavis']
1213,"[0, 5, 5, 1, 3]",2,4,4,4,155.89285714285714,['InversePunisher']
1214,"[5, 4, 0, 2, 2]",3,2,5,5,176.7810650887574,['FirstByDavis']
1215,"[3, 5, 1, 3, 4]",3,3,1,1,132.51171875,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
1216,"[0, 5, 1, 4, 5]",1,5,2,2,130.26666666666668,['InversePunisher']
1217,"[2, 4, 3, 5, 5]",4,5,3,3,160.96952908587258,['FirstByDavis']
1218,"[4, 4, 5, 5, 1]",2,1,4,4,157.31301939058173,['InversePunisher']
1219,"[4, 1, 5, 1, 4]",2,0,5,5,150.24444444444444,['FirstByDavis']
1220,"[3, 4, 2, 4, 2]",2,2,1,1,150.57777777777778,"['ContriteTitForTat', 'InversePunisher']"
1221,"[1, 0, 2, 5, 0]",2,2,2,2,140.625,['FirstByDavis']
1222,"[4, 0, 5, 2, 2]",2,2,3,3,130.3550295857988,['FirstByDavis']
1223,"[0, 2, 0, 5, 4]",3,2,4,4,140.82644628099175,['InversePunisher']
1224,"[3, 1, 0, 1, 5]",4,5,5,5,141.15,['FirstByDavis']
1225,"[4, 1, 4, 1, 5]",0,4,1,1,107.82222222222222,"['ContriteTitForTat', 'InversePunisher']"
1226,"[4, 2, 0, 3, 4]",4,0,2,2,133.63313609467457,['FirstByDavis']
1227,"[3, 2, 1, 3, 0]",3,3,3,3,152.0,['FirstByDavis']
1228,"[3, 3, 1, 1, 4]",1,3,4,4,155.20833333333334,['InversePunisher']
1229,"[0, 3, 5, 5, 2]",4,1,5,5,186.16,['InversePunisher']
1230,"[4, 3, 3, 0, 3]",0,4,1,1,96.14201183431953,"['ContriteTitForTat', 'InversePunisher']"
1231,"[4, 5, 5, 5, 2]",1,5,2,2,153.12925170068027,['FirstByDavis']
1232,"[2, 4, 0, 4, 1]",1,1,3,3,133.02479338842974,['FirstByDavis']
1233,"[3, 0, 5, 5, 1]",0,0,4,4,171.28571428571428,['InversePunisher']
1234,"[3, 3, 5, 4, 3]",4,1,5,5,180.75,['FirstByDavis']
1235,"[1, 4, 5, 4, 0]",0,0,1,1,172.5408163265306,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
1236,"[0, 1, 3, 4, 5]",4,5,2,2,137.07100591715977,['InversePunisher']
1237,"[3, 3, 2, 2, 1]",1,3,3,3,154.1818181818182,['FirstByDavis']
1238,"[0, 4, 2, 5, 3]",1,2,4,4,153.71428571428572,['InversePunisher']
1239,"[4, 3, 0, 3, 4]",4,4,5,5,160.3877551020408,['FirstByDavis']
1240,"[5, 1, 0, 2, 2]",3,0,1,1,129.06,"['ContriteTitForTat', 'InversePunisher']"
1241,"[1, 1, 2, 5, 4]",3,3,2,2,131.44970414201183,['FirstByDavis']
1242,"[5, 0, 0, 5, 1]",3,2,3,3,123.14049586776859,['FirstByDavis']
1243,"[3, 5, 4, 2, 1]",0,3,4,4,178.89333333333335,['InversePunisher']
1244,"[3, 4, 2, 5, 1]",3,3,5,5,166.8,['FirstByDavis']
1245,"[3, 1, 0, 3, 3]",3,2,1,1,99.02,"['ContriteTitForTat', 'InversePunisher']"
1246,"[4, 1, 0, 5, 1]",0,3,2,2,124.26446280991736,['InversePunisher']
1247,"[4, 5, 5, 0, 3]",4,3,3,3,177.03806228373702,['FirstByDavis']
1248,"[4, 0, 1, 0, 1]",2,1,4,4,165.11111111111111,['InversePunisher']
1249,"[4, 0, 1, 2, 5]",4,2,5,5,145.27777777777777,['FirstByDavis']
1250,"[3, 1, 0, 0, 4]",0,3,1,1,78.359375,"['ContriteTitForTat', 'InversePunisher']"
1251,"[1, 4, 1, 2, 2]",4,2,2,2,161.0,['FirstByDavis']
